Symbol,Company_Name,Sector,Data_Exising,History_Existing
ALGS,Aligos Therapeutics Inc. Common Stock,Health Care,True,994.0
ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,True,4481.0
ALHC,Alignment Healthcare Inc. Common Stock,Health Care,True,884.0
ALIT,Alight Inc. Class A Common Stock,Consumer Discretionary,True,1058.0
ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,True,6225.0
ALKS,Alkermes plc Ordinary Shares,Health Care,True,6225.0
ALKT,Alkami Technology Inc. Common Stock,Technology,True,872.0
ALL,Allstate Corporation (The) Common Stock,Finance,True,6225.0
ALLE,Allegion plc Ordinary Shares,Consumer Discretionary,True,2734.0
ALLK,Allakos Inc. Common Stock,Health Care,True,1560.0
ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,True,1501.0
ALLR,Allarity Therapeutics Inc. Common Stock,Health Care,True,697.0
ALLT,Allot Ltd. Ordinary Shares,Telecommunications,True,4496.0
ALLY,Ally Financial Inc. Common Stock,Finance,True,2687.0
ALMS,Alumis Inc. Common Stock,Health Care,True,65.0
ALNT,Allient Inc. Common Stock,Industrials,True,6225.0
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,True,5118.0
ALOT,AstroNova Inc. Common Stock,Technology,True,6225.0
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,Telecommunications,True,1940.0
ALRM,Alarm.com Holdings Inc. Common Stock,Technology,True,2331.0
ALRN,Aileron Therapeutics Inc. Common Stock,Health Care,True,1825.0
ALRS,Alerus Financial Corporation Common Stock,Finance,True,5420.0
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,Finance,True,677.0
ALSN,Allison Transmission Holdings Inc. Common Stock,Consumer Discretionary,True,3156.0
ALT,Altimmune Inc. Common Stock,Health Care,True,1848.0
ALTG,Alta Equipment Group Inc. Class A Common Stock,Industrials,True,1368.0
ALTI,AlTi Global Inc. Class A Common Stock,Finance,True,863.0
ALTM,Arcadium Lithium plc Ordinary Shares,Industrials,True,1501.0
ALTO,Alto Ingredients Inc. Common Stock,Industrials,True,4913.0
ALTR,Altair Engineering Inc. Class A Common Stock,Technology,True,1738.0
ALTS,ALT5 Sigma Corporation Common Stock,Consumer Discretionary,True,6225.0
ALUR,Allurion Technologies Inc. Common Stock,Health Care,True,883.0
